245,Revised Fe2 P,A2B_hP9_189_fg_bc
246,Rhombohedral Graphitek,A_hR2_166_c
247,Rock Salt,AB_cF8_225_a_b
248,Rutile,A2B_tP6_136_f_a
249,SC16,AB_cP16_205_c_c
250,Sb2 O3,A3B2_oP20_56_ce_e
251,Sb2 Tl7,A2B7_cI54_229_e_afh
252,Se,A_mP64_14_16e
253,SeTl,AB_tI16_140_ab_h
254,Si2 U3,A2B3_tP10_127_g_ah
255,Si34 Clathrate,A_cF136_227_aeg
256,Si46 Clathrate,A_cP46_223_dik
257,SiF4,A4B_cI10_217_c_a
258,SiO2,A2B_mP12_3_bc3e_2e
259,SiS2,A2B_oI12_72_j_a
260,SiU3,AB3_tI16_140_b_ah
261,Simple Hexagonal Lattice,A_hP1_191_a
262,Skutterudite,A3B_cI32_204_g_c
263,SnS,AB_oP8_62_c_c
264,Solid Cubane,AB_hR16_148_cf_cf
265,Spinel,A2BC4_cF56_227_d_a_e
266,SrCuO2,AB2C_oC16_63_c_2c_c
267,Stannite,A2BC4D_tI16_121_d_a_i_b
268,Stibnite,A3B2_oP20_62_3c_2c
269,Sulvanite,A3B4C_cP8_215_d_e_a
270,Sylvanite,ABC4_mP12_13_e_a_2g
271,T-50 B,A_tP50_134_b2m2n
272,Tenorite,AB_mC8_15_c_e
273,Tetragonal PZT [Pb(Zr x Ti1−x)O3],A3BC_mC10_8_ab_a_a
274,ThH2,A2B_tI6_139_d_a
275,Ti5 Te4,A4B5_tI18_87_h_ah
276,TiSi2,A2B_oF24_70_e_a
277,TlF,AB_oF8_69_a_b
278,TlF-II,AB_oP8_57_d_d
279,Tungsten Carbide,AB_hP2_187_d_a
280,UB12,A12B_cF52_225_i_a
281,Ullmanite,ABC_cP12_198_a_a_a
282,V4 Zn5,A4B5_tI18_139_i_ah
283,Vulcanite,AB_oP4_59_a_b
284,W2 B5,A5B2_hP14_194_abdf_f
285,Wurtzite,AB_hP4_186_b_b
286,Zincblende,AB_cF8_216_c_a
287,Zircon,A4BC_tI24_141_h_b_a
288,ZrSi2,A2B_oC12_63_2c_c
