x,y,z
0.89229,0.98632,0.71705
0.88773,0.99082,0.68131
0.88308,0.99443,0.64388
0.87835,0.99715,0.60483
0.87352,0.99896,0.56428
0.86861,0.99988,0.52231
0.86361,0.99990,0.47904
0.85853,0.99901,0.43457
0.85336,0.99723,0.38901
0.84810,0.99455,0.34248
0.84276,0.99098,0.29510
0.83733,0.98651,0.24697
0.83183,0.98116,0.19823
0.82623,0.97492,0.14900
0.82056,0.96781,0.09939
0.81480,0.95982,0.04954
0.80896,0.95097,-0.00044
0.80305,0.94127,-0.05042
0.79705,0.93072,-0.10028
0.79097,0.91933,-0.14988
0.78481,0.90711,-0.19910
0.77857,0.89408,-0.24783
0.77226,0.88024,-0.29594
0.76587,0.86561,-0.34331
0.75940,0.85020,-0.38983
0.75285,0.83403,-0.43537
0.74624,0.81710,-0.47982
0.73954,0.79944,-0.52307
0.73277,0.78107,-0.56501
0.72593,0.76198,-0.60554
0.71902,0.74222,-0.64456
0.71203,0.72178,-0.68196
0.70498,0.70069,-0.71767
0.69785,0.67898,-0.75157
0.69065,0.65665,-0.78360
0.68338,0.63373,-0.81367
0.67605,0.61025,-0.84171
0.66865,0.58621,-0.86764
0.66118,0.56164,-0.89141
0.65364,0.53657,-0.91295
0.64604,0.51102,-0.93220
0.63838,0.48501,-0.94912
0.63065,0.45856,-0.96368
0.62286,0.43169,-0.97582
0.61500,0.40444,-0.98553
0.60709,0.37683,-0.99277
0.59911,0.34888,-0.99753
0.59107,0.32061,-0.99979
0.58298,0.29205,-0.99956
0.57482,0.26323,-0.99683
0.56661,0.23418,-0.99161
0.55834,0.20491,-0.98391
0.55002,0.17546,-0.97375
0.54164,0.14585,-0.96115
0.53321,0.11611,-0.94616
0.52472,0.08626,-0.92880
0.51618,0.05634,-0.90911
0.50759,0.02637,-0.88716
0.49895,-0.00363,-0.86299
0.49026,-0.03362,-0.83666
0.48152,-0.06359,-0.80823
0.47273,-0.09349,-0.77779
0.46390,-0.12331,-0.74541
0.45501,-0.15303,-0.71116
0.44609,-0.18260,-0.67514
0.43712,-0.21201,-0.63742
0.42810,-0.24123,-0.59812
0.41904,-0.27023,-0.55732
0.40994,-0.29899,-0.51512
0.40080,-0.32747,-0.47164
0.39162,-0.35567,-0.42698
0.38240,-0.38354,-0.38125
0.37314,-0.41107,-0.33457
