time,on/off,note,velocity,channel,param
39.0,off,59,0,3,
39.0,on,69,127,0,
39.0,on,61,127,3,
39.25,off,67,0,2,
39.25,on,64,127,2,
39.5,off,69,0,0,
39.5,off,61,0,3,
39.5,off,64,0,2,
39.5,on,74,127,0,
39.5,on,65,127,2,
39.5,on,62,127,3,
39.75,off,62,0,3,
39.75,on,56,127,3,
40.0,off,65,0,2,
40.0,off,56,0,3,
40.0,on,64,127,2,
40.0,on,57,127,3,
40.25,off,74,0,0,
40.25,on,71,127,0,
40.5,off,71,0,0,
40.5,on,72,127,0,
40.75,off,64,0,2,
40.75,on,69,127,2,
41.0,off,72,0,0,
41.0,off,69,0,2,
41.0,on,65,127,0,
41.0,on,62,127,2,
41.25,off,57,0,3,
41.25,on,53,127,3,
41.5,off,65,0,0,
41.5,off,53,0,3,
41.5,on,70,127,0,
41.5,on,55,127,3,
41.75,off,62,0,2,
41.75,on,64,127,2,
42.0,off,70,0,0,
42.0,off,64,0,2,
42.0,on,69,127,0,
42.0,on,61,127,2,
42.25,off,55,0,3,
42.25,on,52,127,3,
42.5,off,61,0,2,
42.5,off,52,0,3,
42.5,on,62,127,2,
42.5,on,53,127,3,
42.75,off,62,0,2,
42.75,on,57,127,2,
43.0,off,69,0,0,
43.0,off,57,0,2,
43.0,on,62,127,0,
43.0,on,59,127,2,
43.25,off,53,0,3,
43.25,on,50,127,3,
43.5,off,62,0,0,
43.5,off,50,0,3,
43.5,on,67,127,0,
43.5,on,52,127,3,
43.75,off,59,0,2,
43.75,on,61,127,2,
44.0,off,52,0,3,
44.0,off,61,0,2,
44.0,on,62,127,1,
44.0,on,62,127,2,
44.0,on,50,127,3,
44.25,off,67,0,0,
44.25,on,64,127,0,
44.5,off,62,0,2,
44.5,off,64,0,0,
44.5,on,65,127,0,
44.5,on,57,127,2,
44.75,off,65,0,0,
44.75,on,74,127,0,
45.0,off,62,0,1,
45.0,off,74,0,0,
45.0,on,64,127,0,
45.0,on,69,127,1,
45.25,off,50,0,3,
45.25,on,47,127,3,
45.5,off,47,0,3,
45.5,on,49,127,3,
46.0,off,69,0,1,
46.0,off,49,0,3,
46.0,on,65,127,1,
46.0,on,50,127,3,
46.25,off,64,0,0,
46.25,on,62,127,0,
46.5,off,62,0,0,
46.5,on,69,127,0,
46.75,off,50,0,3,
46.75,on,48,127,3,
47.0,off,57,0,2,
47.0,off,65,0,1,
47.0,off,48,0,3,
47.0,on,62,127,1,
47.0,on,58,127,2,
47.0,on,46,127,3,
47.5,off,69,0,0,
47.5,on,67,127,0,
48.0,off,62,0,1,
48.0,off,58,0,2,
48.0,off,46,0,3,
48.0,off,67,0,0,
48.0,on,69,127,0,
48.0,on,61,127,1,
48.0,on,45,127,3,
48.25,on,52,127,2,
48.5,off,52,0,2,
48.5,on,57,127,2,
48.75,off,45,0,3,
48.75,on,43,127,3,
49.0,off,69,0,0,
49.0,off,61,0,1,
49.0,off,43,0,3,
49.0,on,62,127,1,
49.0,on,41,127,3,
49.25,off,57,0,2,
49.25,off,41,0,3,
49.25,on,58,127,2,
49.25,on,43,127,3,
49.5,off,62,0,1,
49.5,off,58,0,2,
49.5,off,43,0,3,
49.5,on,64,127,1,
49.5,on,57,127,2,
49.5,on,41,127,3,
49.75,off,57,0,2,
49.75,off,41,0,3,
49.75,on,55,127,2,
49.75,on,40,127,3,
50.0,off,64,0,1,
50.0,off,55,0,2,
50.0,off,40,0,3,
50.0,on,65,127,1,
50.0,on,57,127,2,
50.0,on,38,127,3,
50.25,off,38,0,3,
50.25,on,41,127,3,
50.5,off,57,0,2,
50.5,off,41,0,3,
50.5,on,59,127,2,
50.5,on,40,127,3,
50.75,off,40,0,3,
50.75,on,38,127,3,
51.0,off,59,0,2,
51.0,off,38,0,3,
51.0,on,60,127,2,
51.0,on,45,127,3,
51.25,off,65,0,1,
51.25,on,67,127,1,
51.5,off,67,0,1,
51.5,on,65,127,1,
51.75,off,45,0,3,
51.75,off,65,0,1,
51.75,on,64,127,1,
51.75,on,41,127,3,
52.0,off,64,0,1,
52.0,off,41,0,3,
52.0,on,62,127,1,
52.0,on,46,127,3,
52.25,off,60,0,2,
52.25,on,57,127,2,
52.5,off,62,0,1,
52.5,off,57,0,2,
52.5,on,67,127,1,
52.5,on,58,127,2,
52.75,off,46,0,3,
52.75,on,43,127,3,
53.0,off,58,0,2,
53.0,off,43,0,3,
53.0,on,57,127,2,
53.0,on,50,127,3,
53.25,off,67,0,1,
53.25,on,64,127,1,
53.5,off,57,0,2,
53.5,off,64,0,1,
53.5,on,65,127,1,
53.5,on,62,127,2,
53.75,off,50,0,3,
53.75,on,53,127,3,
54.0,off,65,0,1,
54.0,off,53,0,3,
54.0,on,64,127,1,
54.0,on,57,127,3,
54.25,off,62,0,2,
54.25,on,59,127,2,
